roundness,aspect_ratio,narrow_factor,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,mean_R,mean_B,std_R,std_G,std_B,skewness_R,skewness_G,skewness_B,kurtosis_B,contrast,correlation,energy,homogeneity,class
0.41133,1.7158,1.1177,0.18616,0.008419,0.000012,0.000003,0,0,80.476,12.056,16.304,16.722,17.614,-0.025335,-0.23233,1.7258,6.1175,0.13438,0.98785,0.26267,0.93733,1
0.42552,1.5241,1.112,0.17501,0.004855,0.000016,0.000001,0,0,70.583,3.7101,16.678,16.927,10.987,0.13055,0.039005,3.9915,22.436,0.14407,0.98844,0.22668,0.93177,1
0.42162,1.7282,1.0953,0.18575,0.008568,0.000068,0.000009,0,0.000001,86.444,46.3,16.094,16.928,22.108,-0.10867,-0.18741,-0.2296,2.848,0.11468,0.98914,0.27393,0.94571,1
0.44824,1.6487,1.1043,0.18045,0.006953,0.000003,0,0,0,77.737,9.7387,16.966,17.282,15.934,-0.13686,-0.22195,1.9236,6.7426,0.13487,0.98822,0.24758,0.93658,1
0.44391,1.7425,1.095,0.18578,0.008784,0.000011,0.000001,0,0,84.42,18.681,16.879,16.824,20.196,-0.18265,-0.26145,0.91477,3.1681,0.1212,0.98869,0.27358,0.94297,1
0.50307,1.6691,1.1177,0.18189,0.007362,0.000027,0.000001,0,0,79.643,8.9569,19.16,20.437,17.515,-0.11351,-0.37168,2.5042,10.619,0.1576,0.98699,0.22371,0.92831,1
0.50364,1.4396,1.0786,0.1715,0.003583,0.00001,0.000001,0,0,86.37,1.7872,16.319,17.727,7.8189,0.31117,0.11192,6.8113,67.021,0.12783,0.98665,0.28786,0.94255,1
0.45757,1.6106,1.1184,0.17974,0.006355,0.00004,0.000003,0,0,80.507,20.958,18.663,19.491,22.489,-0.10695,-0.31789,0.8125,2.7594,0.13296,0.989,0.23897,0.93875,1
0.42581,1.6103,1.087,0.17969,0.006347,0.000089,0.000008,0,0.000001,85.252,23.688,18.431,18.834,23.184,-0.20159,-0.30681,0.65329,2.4718,0.12859,0.98824,0.23973,0.93891,1
0.40869,1.6421,1.1225,0.18324,0.007072,0.000165,0.000026,0,0.000002,77.191,11.026,18.35,18.209,19.352,0.30514,0.15944,1.9018,6.1153,0.14599,0.9879,0.22656,0.93081,1
0.41465,1.576,1.1179,0.18261,0.006049,0.000028,0.000003,0,0,87.234,35.827,16.884,17.96,23.988,-0.075448,-0.2158,0.091788,2.266,0.1242,0.98888,0.25308,0.942,1
0.30485,1.664,1.1266,0.1841,0.007466,0.000041,0.000014,0,0.000001,93.177,43.963,17.183,17.513,21.909,0.046847,-0.1887,0.005122,2.6864,0.11459,0.98872,0.24703,0.94565,1
0.41132,1.9862,1.1344,0.20165,0.014422,0.000105,0.000027,0,0.000003,79.803,17.621,17.97,18.19,22.312,-0.071162,-0.145,1.1114,3.2814,0.14379,0.988,0.23674,0.93188,1
0.4729,1.5487,1.1307,0.17646,0.005272,0.000024,0.000002,0,0,79.842,21.699,17.212,17.662,22.366,-0.26957,-0.45644,0.75975,2.6403,0.12236,0.98974,0.25321,0.94183,1
0.4362,1.7218,1.1229,0.18596,0.008491,0.000038,0.000005,0,0,81.483,26.095,17.147,17.704,23.199,-0.15846,-0.25016,0.53734,2.3307,0.1221,0.9896,0.25346,0.94241,1
0.53639,1.4086,1.0928,0.16943,0.003122,0.000003,0,0,0,77.53,0.8997,18.178,18.234,5.4882,-0.4878,-0.45682,9.5447,128.04,0.13604,0.98744,0.26301,0.93662,1
0.48862,1.7007,1.1244,0.18366,0.007972,0.000008,0.000001,0,0,81.597,8.4471,18.325,18.124,15.622,-0.59053,-0.63269,2.2673,9.024,0.12173,0.98939,0.27173,0.94413,1
0.47335,1.7287,1.0455,0.18494,0.0085,0.000041,0.000005,0,0,86.468,30.23,17.833,18.113,23.306,-0.40032,-0.59289,0.35305,2.3314,0.1244,0.98752,0.26048,0.94111,1
0.46514,1.5874,1.1178,0.17774,0.005891,0.000005,0.000001,0,0,81.152,0.5421,17.62,16.982,5.2577,0.013923,-0.025003,13.511,222.88,0.13119,0.98733,0.28826,0.9385,1
0.43629,1.6877,1.1155,0.18578,0.007962,0.000146,0.000018,0,0.000002,82.555,26.514,18.631,19.713,25.369,-0.072809,-0.32237,0.56626,2.2543,0.13005,0.98938,0.23403,0.93845,1
0.48245,1.7723,1.1097,0.18763,0.00941,0.000025,0.000002,0,0,84.215,13.158,16.471,17.305,18.102,-0.41922,-0.5449,1.4053,4.5685,0.12841,0.98825,0.26923,0.9403,1
0.43249,1.7688,1.1126,0.18848,0.009442,0.000007,0.000002,0,0,81.486,10.016,17.29,17.929,16.924,-0.026685,-0.11509,1.9347,6.6424,0.12232,0.98973,0.26296,0.94265,1
